met_name,met_exposure,ms_outcome,b_ivw,se_ivw,p_ivw,or_ivw,low_ci_ivw,up_ci_ivw,b_egger,se_egger,p_egger,egger_int,p_int,het_ivw_p,het_egger_p,or_egger,low_ci_egger,up_ci_egger,b_wmed,se_wmed,p_wmed,or_wmed,low_ci_wmed,up_ci_wmed,b_wmod,se_wmod,p_wmod,or_wmod,low_ci_wmod,up_ci_wmod,NA
"Bradykinin, des-arg(9)",3,"Bradykinin, des-arg(9) || id:met-a-656","Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.0000008313567081,0.0003201947309,0.9979283671,0.9999991686,0.9993717844,1.000626947,0.001087555469,0.001887601292,0.6672365099,-0.0001501879959,0.6532238038,0.7369131848,0.6216838305,1.001088147,0.9973912656,1.004798731,0.00009071671608,0.0006259729064,0.8847731241,1.000090721,0.998864455,1.001318492,0.000131394217,0.0006683503596,0.8623105135,1.000131403,0.9988221218,1.0014424
Glycine,49,Glycine || id:met-d-Gly,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.0003336539524,0.0003318533504,0.3146918151,0.9996664017,0.9990163975,1.000316829,-0.0004704913471,0.0003813967139,0.2288242747,0.00003120083416,0.4612705095,0.002224457434,0.002056777854,0.9995296193,0.9987827126,1.000277085,-0.0004079933509,0.0002530195435,0.1068537497,0.9995920899,0.9990964967,1.000087929,-0.0004597341999,0.0002647507833,0.09431589141,0.9995403715,0.999021833,1.000059179
Valine,5,Valine || id:met-c-940,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.0003456782001,0.0004852126683,0.4762009184,0.9996543815,0.9987041453,1.000605522,0.003738298196,0.005053358216,0.5945250589,-0.0003962475992,0.5633751464,0.6894868474,0.785785887,1.003745294,0.9938526886,1.013736369,-0.0002312283132,0.0009108369007,0.7996009549,0.9997687984,0.9979855631,1.00155522,-0.00005641898074,0.00100057929,0.9601605071,0.9999435826,0.9979844795,1.001906532
Citrate,6,Citrate || id:met-c-849,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.0004353200896,0.0006468909167,0.5009841688,1.000435415,0.9991677604,1.001704678,-0.006433193763,0.005878982964,0.3880384355,0.0005935974314,0.3598649573,0.5437608976,0.6866078643,0.9935874549,0.982204248,1.005102587,0.000530317603,0.0009379233126,0.5717902967,1.000530458,0.998692843,1.002371455,0.0004004772879,0.001138527544,0.7482821909,1.000400557,0.9981706386,1.002635458
Glutamine,46,Glutamine || id:met-d-Gln,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.001043703798,0.0007588924176,0.1690388419,0.9989568407,0.9974720677,1.000443824,-0.002143175022,0.001857675047,0.2622297761,0.00004542202261,0.5229171167,0.4197008033,0.3851400721,0.9978591199,0.9942324783,1.00149899,-0.001258668252,0.001109816553,0.2567430427,0.9987421235,0.9965719804,1.000916992,-0.002287328793,0.001557869634,0.1568586996,0.9977152852,0.9946734832,1.000766389
Tyrosine,5,Tyrosine || id:met-c-938,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.0008105313204,0.000760947115,0.2868030013,1.00081086,0.9993193068,1.002304639,0.001458761976,0.004805365103,0.8123701487,-0.00005037506135,0.9124828792,0.5545423808,0.2820722307,1.001459826,0.9920718413,1.01093665,0.0009015276643,0.00117684037,0.4436419516,1.000901934,0.9985959072,1.003213286,0.0009678449351,0.001284420024,0.5297618161,1.000968313,0.9984515817,1.003491389
Alanine,36,Alanine || id:met-d-Ala,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.001044893261,0.0008620557869,0.2254761277,1.001045439,0.9993554717,1.002738265,0.003312225278,0.002984085738,0.2801826824,-0.00008747519749,0.4363489676,0.1832952508,0.1718525041,1.003317717,0.9974666316,1.009203124,0.0001475519535,0.001193545559,0.9016122743,1.000147563,0.9978106029,1.002489996,-0.0009054196461,0.002051411377,0.6634603003,0.9990949901,0.9950859278,1.003120204
Histidine,5,Histidine || id:met-c-866,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.001528257457,0.0009842149504,0.1204785758,1.001529426,0.9995992765,1.003463302,0.04971219927,0.04230553285,0.4488676107,-0.003884096824,0.4586246007,0.3302362793,0.337987581,1.050968583,0.9673386431,1.141828636,0.001150205586,0.001214630195,0.3436594234,1.001150867,0.9987702871,1.003537122,0.0005199157864,0.001423005312,0.7498612099,1.000520051,0.997733398,1.003314487
Creatinine,78,Creatinine || id:met-d-Creatinine,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",-0.002195395045,0.001037896911,0.03440999117,0.9978070131,0.9957792595,0.9998388959,-0.003041645366,0.003975967075,0.4486481988,0.00002480217908,0.8264420561,0.00004779240773,0.00003285517721,0.9969629758,0.9892239414,1.004762555,-0.001706145012,0.001101907052,0.1215364739,0.9982953096,0.9961415801,1.000453696,-0.00208530166,0.001644073274,0.2116496149,0.9979168711,0.9947063756,1.001137729
Alanine,6,Alanine || id:met-c-840,"Non-cancer illness code, self-reported: multiple sclerosis || id:ukb-b-17670",0.001302897163,0.001066033864,0.2216353465,1.001303746,0.99921378,1.003398084,0.00838158166,0.00451485293,0.3145525549,-0.0005995629043,0.3558431441,0.2326669243,0.5483026574,1.008416805,0.9995325792,1.017379998,0.001406685058,0.001038207861,0.1754441326,1.001407675,0.9993719949,1.003447501,0.002115870115,0.001140952109,0.2048325732,1.00211811,0.9998796112,1.004361621
